date,time,artists,venue_name,venue_lat_lon,ticket_link,video_link
10/17/2013,19:00:00,Ruby Velle & The Soulphonics,The Tabernacle,-84.3914674|33.7587006,(ONA concert),
10/17/2013,20:30:00,"Atlas Genuis, Family Of The Year, Little Commets",Center Stage Theater,-84.3914674|33.7587006,http://www.ticketmaster.com/atlas-genius-atlanta-georgia-10-17-2013/event/0E004AB2B0F1855B?brand=centerstage,http://youtu.be/Sd2yr12abg8
10/17/2013,20:00:00,Cherry Poppin' Daddies,Smith's Olde Bar,-84.4298895|33.8506723,http://www.ticketalternative.com/Events/24030.aspx,http://youtu.be/1IqH3uliwJY
10/17/2013,19:30:00,"""CMT On Tour"", Hunter Hayes, Ashley Monroe",Fox Theatre,-84.3687673|33.7975769,http://ev10.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3AFTA%3AFOX13%3AHUN1017%3A&linkID=fta&shopperContext=&pc=&caller=&appCode=&groupCode=HUN&cgc=,http://youtu.be/XvtXgNtYFMs?t=49s
10/17/2013,18:30:00,"Kevin Abernathy, Mic Harrison, The Head, Dan Forsberg",Atlanta Room @ Smith's Olde Bar,-84.4298895|33.8506723,http://www.ticketalternative.com/Events/25132.aspx,http://www.youtube.com/watch?v=YRleBYQM-r0
10/17/2013,21:00:00,"Kid Congo Powers & The Pink Monkey Birds, The Subsonics, Zoners",The Star Bar,-84.3854959|33.7727593,(no tickets online),http://youtu.be/kdixb0iOVQc?t=44s
10/17/2013,18:00:00,Robert Kelly,Improv Comedy Club,-84.3489911|33.7663058,http://atlimprov.laughstub.com/show.cfm?id=269621&cart,
10/17/2013,21:00:00,"Wild Belle, Snowmine",The EARL,-84.3808281|33.8424902,http://www.ticketalternative.com/Events/24219.aspx,http://youtu.be/XKoPhrJPPbw
10/18/2013,19:30:00,"97.1 The River's ""Southern Rock Revival"", Lynard Sknyrd, The Marshall Tucker Band, Molly Hatchet",Verizon Wireless Amphitheatre At Encore Park (Alpharetta),-84.3461061|33.7409115,http://www.ticketmaster.com/lynyrd-skynyrd-alpharetta-georgia-10-18-2013/event/0E004B1BD0D58B24,http://youtu.be/qr3dWscslo8?t=17s
10/18/2013,20:30:00,"Ben Rector, Tyrone Wells",The Tabernacle,-84.3914674|33.7587006,http://concerts.livenation.com/event/0E004AECADFF688A,http://youtu.be/4BW_ugyj0lw
10/18/2013,20:00:00,"Chris Mann, Atlanta Symphony Orchestra",Atlanta Symphony Hall,-84.3064884|34.0544291,http://www.ticketmaster.com/event/0E004A73D12DDD2E?cfc_aso_asowebsite,http://youtu.be/9hcLM5-o864?t=26s
10/18/2013,21:00:00,"Escondido, Takenobu",The EARL,-84.3808281|33.8424902,http://www.ticketalternative.com/Events/24948.aspx,http://youtu.be/Zd4QiKLv4Tg?t=11s
10/18/2013,20:00:00,Fozzy,The 120 Tavern & Music Hall (Marietta),-84.3850797|33.7889874,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=3769414,http://youtu.be/fEbXnhgYYYs
10/18/2013,20:00:00,"India.Arie, Gramps Morgan",Cobb Energy Performing Arts Centre,-84.5099649|33.9501459,http://www.ticketmaster.com/indiaarie-atlanta-georgia-10-18-2013/event/0E004AE1AE9B94BF?artistid=807288&majorcatid=10001&minorcatid=202,http://youtu.be/mxkMlS2nuU8
10/18/2013,20:30:00,Junior Brown,Variety Playhouse,-84.4586486|33.8843175,http://www.ticketmaster.com/junior-brown-atlanta-georgia-10-18-2013/event/0E004B08E4B28B7B?camefrom=cfc_varietyph_JrB_VPO,http://youtu.be/DaEzT5MusFs
10/18/2013,19:00:00,Larkin Poe,Eddie's Attic (Decatur),-84.3511527|33.7637716,http://order.ticketalternative.com/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ATAUSA6%3AEA13%3ALAR1018%3A&linkID=ta-eddies&shopperContext=&caller=&appCode,http://youtu.be/8VQnybSmRMY?t=31s
10/18/2013,20:00:00,"Patty Griffin, Scott Miller",Buckhead Theatre,-84.2963987|33.7739587,http://www.ticketmaster.com/patty-griffin-atlanta-georgia-10-18-2013/event/0E004B09CAE5C49E?artistid=769148&majorcatid=10001&minorcatid=1&tm_link=venue_msg-0_0E004B09CAE5C49E,http://youtu.be/B1gPVKJ7msI?t=22s
10/18/2013,18:00:00,Robert Kelly,Improv Comedy Club,-84.3489911|33.7663058,http://atlimprov.laughstub.com/show.cfm?id=269622&cart,
10/18/2013,20:00:00,"Unknown Hinson, Justin Wells",The Masquerade,-84.3795765|33.8402374,http://www.ticketmaster.com/unknown-hinson-atlanta-georgia-10-18-2013/event/0E004AF6C5D1FD0A?camefrom=cfc_masquerade_website,http://youtu.be/z7_YNTQmtGg
10/18/2013,21:00:00,"The Whigs, Turf War",Terminal West,-84.3644374|33.7707409,http://www.ticketfly.com/purchase/event/344895?__utma=1.187115876.1381627356.1381627356.1381627356.1&__utmb=1.1.10.1381627356&__utmc=1&__utmx=-&__utmz=1.1381627356.1.1.utmcsr=last.fm|utmccn=(referral)|utmcmd=referral|utmcct=/event/3700892%20The%20Polish%20Ambassador%20at%20Terminal%20West%20on%2019%20October%202013&__utmv=-&__utmk=78558996,http://youtu.be/c1JFpbcnhDo
10/18/2013,18:30:00,"Afton Showcase, Aaron Childree, Soul Chord, Sleep the Owls, Struck, Highbeams, Lizi Bailey & Guests",Vinyl,-84.416435|33.78255,https://tickets.aftonshows.com/cgi-bin/show.pl?show_id=5043,http://youtu.be/MT484DGI_h4?t=8s
10/19/2013,18:00:00,38 Special,Buford Community Center (Buford),-84.388225|33.792085,http://www.bufordcommunitycenter.com/ShowsAndEvents.aspx?CNID=19,http://youtu.be/vJtf7R_oVaw
10/19/2013,21:00:00,"Flux Pavillion, Skism, Brown and Gammon",The Tabernacle,-84.3914674|33.7587006,http://concerts.livenation.com/event/0E004AEBBFFF55CF,http://www.youtube.com/watch?v=RRNqRuyFSXk&feature=share&list=UUweZOSx5IoP4FN9Vv1cK8tw
10/19/2013,20:00:00,"Grace & Tony, Barnaby Bright",Red Clay Theatre (Duluth),-83.98975|34.0954279,http://www.eddieowenpresents.com/calendar/,http://youtu.be/pgxZxfROI6A?t=17s
10/19/2013,21:00:00,"Guitar Wolf, The Coathangers",Drunken Unicorn,-84.1449905|34.0024568,http://www.ticketalternative.com/Venues/21.aspx,http://youtu.be/lLTJAZu70zo
10/19/2013,15:45:00,"""Kicks Country Fair"", Corey Smith, Darius Rucker, Randy Houser, Justin Moore, Sunny Sweeny, Love and Theft, Joel Crouse",Verizon Wireless Amphitheater At Encore Park (Apharetta),-84.3461061|33.7409115,http://www.ticketmaster.com/kicks-country-fair-2013-alpharetta-georgia-10-19-2013/event/0E004AE89DF58383,http://youtu.be/MpRpky8Zk84
10/19/2013,19:30:00,Lew Soloff,The Velvet Note (Alpharetta),-84.363095|33.7739131,http://thevelvetnote.com/lew-soloff/,http://youtu.be/XY8MCoyZYKw?t=14s
10/19/2013,20:00:00,Lewis Black,Cobb Energy Performing Arts Centre,-84.5099649|33.9501459,http://www.ticketmaster.com/lewis-black-atlanta-georgia-10-19-2013/event/0E004A97E571E484?artistid=821454&majorcatid=10002&minorcatid=51,
10/19/2013,21:30:00,"Lucius, Hey Marseilles",The EARL,-84.3808281|33.8424902,http://www.ticketalternative.com/Events/24684.aspx,http://youtu.be/9rW02em8vzg
10/19/2013,22:00:00,The Polish Ambassador,Terminal West,-84.3644374|33.7707409,http://www.ticketfly.com/purchase/event/340797?__utma=1.187115876.1381627356.1381627356.1381627356.1&__utmb=1.1.10.1381627356&__utmc=1&__utmx=-&__utmz=1.1381627356.1.1.utmcsr=last.fm|utmccn=(referral)|utmcmd=referral|utmcct=/event/3700892%20The%20Polish%20Ambassador%20at%20Terminal%20West%20on%2019%20October%202013&__utmv=-&__utmk=78558996,http://www.youtube.com/watch?v=FwabE1h1bII&feature=share&list=PLFED016C2B2CA148C
10/19/2013,18:00:00,Robert Kelly,Improv Comedy Club,-84.3489911|33.7663058,http://atlimprov.laughstub.com/show.cfm?id=269624&cart,
10/19/2013,7:30:00,"Rod Stewart, Steve Winwood",Phillips Arena,-84.3893019|33.756749,http://www.goodseattickets.com/Rod-Stewart,http://youtu.be/fD_6KqP7K0g
10/19/2013,20:00:00,Todd Carey,Smith's Olde Bar,-84.4298895|33.8506723,http://www.ticketalternative.com/Events/25049.aspx,http://youtu.be/6VIZiUBVGwI?t=1m4s
10/19/2013,20:30:00,Yacht Rock Revnue,Variety Playhouse,-84.4586486|33.8843175,http://www.ticketmaster.com/yacht-rock-revue-atlanta-georgia-10-19-2013/event/0E004B23FE4E7FA5?camefrom=cfc_varietyph_YRR,http://youtu.be/33qi0X7k6kc
10/19/2013,21:00:00,"Finch ""what Is It To Burn"" 10 Year Anniversary Tour, Finch, Dance Gavin Dance, Reason To Rebel",Buckhead Theatre,-84.2963987|33.7739587,http://www.ticketmaster.com/finch-what-it-is-to-burn-atlanta-georgia-10-19-2013/event/0E004AF1BA95E502?artistid=924291&majorcatid=10001&minorcatid=60&tm_link=venue_msg-0_0E004AF1BA95E502,http://youtu.be/DLbHfOhJNR4
10/20/2013,20:00:00,Grupo Fantasma,The EARL,-84.3808281|33.8424902,http://www.ticketalternative.com/Events/24894.aspx,http://youtu.be/JwT5bUZm2a4?t=56s
10/20/2013,20:00:00,Idan Raichel Project,Rialto Center For The Arts,-84.242561|34.06041,https://tickets.rialtocenter.org/Public/show.asp?shcode=1150,http://youtu.be/kmW2yAYhMmM
10/20/2013,19:30:00,Kris Kristofferson,Atlanta Symphony Hall,-84.3064884|34.0544291,http://www.ticketmaster.com/kris-kristofferson-atlanta-georgia-10-20-2013/event/0E004AFF92C48735?artistid=732827&majorcatid=10001&minorcatid=2&tm_link=venue_msg-0_0E004AFF92C48735,http://youtu.be/VJWTY56I228
10/20/2013,19:30:00,Lew Soloff,The Velvet Note (Alphretta),-84.363095|33.7739131,http://thevelvetnote.com/lew-soloff/,http://youtu.be/XY8MCoyZYKw?t=14s
10/20/2013,19:00:00,"""Mystic India""",Cobb Energy Performing Arts Centre,-84.5099649|33.9501459,http://www.ticketmaster.com/mystic-india-atlanta-georgia-10-20-2013/event/0E004B07A3E4A111?artistid=1903664&majorcatid=10005&minorcatid=0,http://youtu.be/OgOKSVKYkDQ?t=6s
10/20/2013,20:00:00,Poor Old Shine,Eddie's Attic (Decatur),-84.3511527|33.7637716,http://order.ticketalternative.com/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ATAUSA6%3AEA13%3APOO1020%3A&linkID=ta-eddies&shopperContext=&caller=&appCode,http://youtu.be/cy1xHcMBzl0?t=7s
10/20/2013,19:00:00,Theresa Caputo,Fox Theatre,-84.3687673|33.7975769,http://ev10.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3AFTA%3AFOX13%3ALIM1020%3A&linkID=fta&shopperContext=&pc=&caller=&appCode=&groupCode=LIM&cgc=,
10/20/2013,8:30:00,"Vanessa Carlton, Patrick Sweany",Terminal West,-84.3644374|33.7707409,http://www.ticketfly.com/purchase/event/309377?__utma=1.187115876.1381627356.1381627356.1381627356.1&__utmb=1.1.10.1381627356&__utmc=1&__utmx=-&__utmz=1.1381627356.1.1.utmcsr=last.fm|utmccn=(referral)|utmcmd=referral|utmcct=/event/3700892%20The%20Polish%20Ambassador%20at%20Terminal%20West%20on%2019%20October%202013&__utmv=-&__utmk=78558996,http://youtu.be/SM3fEJyPrrg
